,City,Latitude,Longitude
218048,brugge,51.216667,3.233333
1126094,nyiregyhaza,47.95,21.716667
2818255,ordu,40.984722,37.878889
1532218,hofu,34.05,131.566667
2029975,leiden,52.176281,4.528154
2080102,puno,-15.8333333,-70.0333333
1354142,rishra,22.714167,88.347778
639570,yidu,36.696667,118.479722
1328054,botad,22.166667,71.666667
417386,nkongsamba,4.9533333,9.9325
1034568,kindia,10.0666667,-12.85
2308153,setubal,38.533333,-8.9
1340674,khanna,30.704444,76.223056
3058359,calabozo,8.9344444,-67.4266667
2385416,cherkessk,44.223333,42.057778
527994,longjing,42.771389,129.423333
1533199,ishinomaki,38.416667,141.3
2967989,flint,43.0125,-83.6875
1203083,kedungwuni,-6.970383,109.647942
1822822,maymyo,22.0333333,96.4666667
998078,newport,51.583333,-2.983333
2646280,louga,15.6166667,-16.2166667
294448,caxias,-4.833333,-43.35
1716079,panevezys,55.7333333,24.35
1325693,basirhat,22.657222,88.894167
408545,punta arenas,-53.15,-70.916667
684480,tunja,5.535278,-73.367778
2117626,digos,6.749722,125.357222
1290206,tebingtinggi,3.3285,99.1625
1532804,ikoma,34.683333,135.7
3057002,anaco,9.4375,-64.4730556
999872,rotherham,53.433333,-1.35
585352,shunyi,40.125,116.645278
357417,gemena,3.25,19.766667
2358265,achinsk,56.2694,90.4993
2968512,lansing,42.7325,-84.5555556
3016980,columbia,34.0005556,-81.035
1998854,jalingo,8.883333,11.366667
827051,loja,-4.0,-79.2166667
2285895,tarnow,50.006105,20.95527
1350981,patan,23.833333,72.116667
2895788,uzhhorod,48.616667,22.3
2753269,nakhon pathom,13.819602,100.044274
660606,buga,3.900889,-76.297829
388703,lausanne,46.533333,6.666667
1346893,morvi,22.816667,70.833333
525725,liusha,23.310722,116.168691
1337597,jetpur,21.733333,70.616667
1997472,ilobu,7.833333,4.483333
1984563,bama,11.522103,13.685579
1516452,pescara,42.466667,14.216667
1907563,san juan del rio,20.383333,-100.0
961426,orleans,47.902891,1.903887
1687411,kotte,6.9027778,79.9083333
352864,bandundu,-3.316667,17.366667
773895,remscheid,51.183333,7.2
1357598,srikakulam,18.3,83.9
296288,cubatao,-23.883333,-46.416667
2292821,zielona gora,51.939345,15.505772
1272954,sepatan,-6.118889,106.575
1321964,adilabad,19.666667,78.533333
2751017,khlong luang,14.064667,100.645778
425758,bantou,25.443056,118.403333
1918562,zacatecas,22.783333,-102.583333
1535805,kokubunji,35.702222,139.475556
516965,lasa,29.65,91.1
1544280,toda,35.809444,139.6925
1330657,damoh,23.833333,79.45
3030871,waco,31.5491667,-97.1463889
626672,xingyi,25.05,104.983333
3058290,cagua,10.1833333,-67.45
1024363,obuasi,6.2,-1.6666667
2754438,rayong,12.668462,101.275503
1071627,villa canales,14.481389,-90.531667
2985375,toms river,39.9536111,-74.1983333
1520775,sassari,40.727222,8.560278
1357289,siwan,26.216667,84.366667
302909,jau,-22.3,-48.55
2905180,lira,2.235,32.9097222
872427,lleida,41.616667,0.633333
2929782,port saint lucie,27.2936111,-80.3505556
2922360,simi valley,34.2694444,-118.7805556
2817216,nazilli,37.916309,28.322249
828510,quevedo,-1.0333333,-79.45
2006328,modakeke,7.383333,4.266667
729953,bremerhaven,53.55,8.583333
351447,trois-rivieres,46.35,-72.55
2196001,jaranwala,31.333333,73.433333
1957604,maxixe,-23.8597222,35.3472222
315311,santa rita,-7.133333,-34.966667
810894,puerto plata,19.8,-70.6833333
2480669,orekhovo-zuevo,55.806722,38.961782
1333075,etah,27.633333,78.666667
1333590,gangapur,26.483333,76.716667
921118,besancon,47.248778,6.018152
2312111,fernando de la mora,-25.316667,-57.6
195401,chandpur,23.15,90.7166667
2289354,wloclawek,52.651435,19.072755
446864,daan,29.382222,106.015
771192,pforzheim,48.883333,8.7
2922913,vallejo,38.1041667,-122.2555556
2803740,karaman,37.181111,33.215
1942100,rawang,3.3213,101.5767
465560,fengcheng,40.453611,124.071667
3144127,mufulira,-12.55,28.2333333
1544728,toyokawa,34.816667,137.4
750785,ingolstadt,48.766667,11.433333
769425,offenbach,50.1,8.766667
784944,ulm,48.4,10.0
3026340,carrollton,32.9536111,-96.89
729391,bottrop,51.516667,6.916667
2753275,nakhon si thammarat,8.433333,99.966667
1515083,monza,45.583333,9.266667
1335159,guntakal,15.166667,77.383333
1531049,habikino,34.534062,135.583343
1735567,tubruq,32.0836111,23.9763889
1545842,yaizu,34.866667,138.333333
292114,cachoeirinha,-29.95,-51.083333
2856541,musoma,-1.5,33.8
2925595,stamford,41.0533333,-73.5391667
1352928,raigarh,21.9,83.4
1895355,orizaba,18.85,-97.1
543581,nancha,47.133333,129.266667
2297272,braga,41.550323,-8.420052
1539433,noda,35.941111,139.858056
1329732,chikmagalur,13.316667,75.783333
1530376,fujinomiya,35.216667,138.616667
2948256,topeka,39.0483333,-95.6777778
2027329,dordrecht,51.800653,4.698199
1360778,vejalpur,22.683333,73.566667
1249851,payakumbuh,-0.22019,100.630781
1326352,bhadreswar,22.824444,88.350556
746298,heilbronn,49.140278,9.22
1348183,nalgonda,17.05,79.266667
1680965,chavakachcheri,9.65,80.15
1539406,nobeoka,32.583333,131.666667
1350312,palwal,28.15,77.333333
1500354,zabol,31.0287,61.5012
92530,durres,41.3230556,19.4413889
1332186,dibrugarh,27.481667,94.902778
289373,barbacena,-21.233333,-43.766667
793005,aalborg,57.035498,9.941163
2170859,chishtian mandi,29.8,72.866667
3096573,my tho,10.35,106.35
2828419,tekirdag,40.978012,27.508524
2030268,maastricht,50.85,5.683333
502883,jiayuguan,39.816667,98.3
654378,zhoucun,36.816667,117.816667
581213,shishou,29.716667,112.4
1178272,garut,-7.2024,107.8878
308755,palhoca,-27.633333,-48.666667
1535312,kisarazu,35.374722,139.9225
2755507,ubon ratchathani,15.23844,104.848659
3135854,virginia,-28.10391,26.86593
1352481,puruliya,23.333333,86.366667
495353,huangzhou,30.45,114.8
3124862,brits,-25.634731,27.780224
1335675,hardoi,27.116667,80.15
286495,alagoinhas,-12.116667,-38.433333
773314,recklinghausen,51.616667,7.2
1332777,dum dum,22.622222,88.416944
1249278,pati,-6.7559,111.038
2944974,cedar rapids,42.0083333,-91.6438889
502262,jiaohe,43.728611,127.344722
387316,bern,46.916667,7.466667
1539024,niihama,33.959326,133.316722
532729,luoyang,23.162442,114.273423
791310,wolfsburg,52.433333,10.8
312079,porto seguro,-16.433333,-39.083333
402756,soubre,5.783766,-6.59388
1186187,indramayu,-6.326389,108.32
1350133,palanpur,24.166667,72.433333
2755248,thanyaburi,14.021139,100.734334
2024135,masaya,11.9666667,-86.1
327674,uruguaiana,-29.75,-57.083333
741762,gottingen,51.533333,9.933333
1159571,ciamis,-7.3257,108.3534
1222006,lumajang,-8.1335,113.2248
1530159,ebina,35.381212,139.396515
3133272,potchefstroom,-26.716667,27.1
1835436,thaton,16.9205556,97.3713889
3133172,pietersburg,-23.904485,29.468851
2124117,koronadal,6.503056,124.846944
2120677,hagonoy,14.8321,120.7336
426403,baoshan,46.558611,131.424444
806051,higuey,18.6166667,-68.7
1330883,darjiling,27.033333,88.266667
506970,jiupu,41.066667,122.95
2983882,elizabeth,40.6638889,-74.2111111
326549,teresopolis,-22.424064,-42.968013
2925135,hartford,41.7636111,-72.6855556
3133880,rustenburg,-25.667562,27.242079
514203,laiwu,36.192778,117.656944
1353049,rajapalaiyam,9.45,77.566667
1452047,marand,38.4329,45.7749
1512606,latina,41.466667,12.866667
326760,timon,-5.1,-42.816667
2254584,gorzow wielkopolski,52.73679,15.228775
828641,riobamba,-1.6666667,-78.6333333
1537038,matsusaka,34.566667,136.533333
2201830,khairpur,27.529483,68.761698
2020099,uyo,5.033333,7.92657
2662810,nueva san salvador,13.6769444,-89.2797222
646523,yushu,44.8,126.533333
811472,san francisco de macoris,19.3,-70.25
2994247,fayetteville,35.0525,-78.8786111
1258422,pringsewu,-5.358215,104.974407
1136340,babakan,-6.8275,108.498333
1482158,semnan,35.572914,53.397139
1879841,huixquilucan,19.360278,-99.351389
2925324,new haven,41.3080556,-72.9286111
1918678,zamora,19.983333,-102.266667
588641,suining,30.508017,105.573324
1240105,padalarang,-6.8425,107.484722
1345313,mandsaur,24.066667,75.066667
134735,san rafael,-34.617717,-68.330066
1529696,beppu,33.273611,131.491944
291377,braganca paulista,-22.95,-46.566667
348680,kelowna,49.9,-119.483333
266100,bohicon,7.2,2.0666667
569019,shahe,36.854722,114.4975
2919279,east los angeles,34.0238889,-118.1711111
564774,ruian,27.776047,120.658588
339056,orsha,54.5152778,30.4052778
2919348,el monte,34.0686111,-118.0266667
2011417,opobo,4.51142,7.540093
2011416,opobo,4.564844,7.547802
478694,haimen,23.193486,116.614218
407532,los angeles,-37.466667,-72.35
1540205,okinawa,26.335833,127.801389
1280089,sorong,-0.883333,131.25
2918890,concord,37.9780556,-122.03
2578791,najran,17.466667,44.1
2237317,tando adam,25.763736,68.660982
395540,gagnoa,6.131934,-5.950601
622957,xiazhen,34.802222,117.111667
2928511,gainesville,29.6513889,-82.325
1003013,watford,51.666667,-0.4
529091,longyan,25.107222,117.0225
1992161,gashua,12.871,11.0482
521922,linchuan,27.938274,116.292688
496585,huicheng,23.038449,116.28988
2934882,savannah,32.0833333,-81.1
1534707,kashihara,34.45,135.766667
981403,villeurbanne,45.765502,4.875522
309512,patos de minas,-18.583333,-46.533333
301963,itapetininga,-23.6,-48.05
1247309,paseh,-6.803889,107.867222
533752,macheng,31.178333,115.031944
1735317,sabha,27.0333333,14.4333333
2312298,lambare,-25.35,-57.65
2642812,diourbel,14.6666667,-16.25
1341754,kolar,13.133333,78.133333
1190120,jombang,-7.55,112.233333
1343385,lalitpur,24.683333,78.416667
2858243,songea,-10.6833333,35.65
2922609,sunnyvale,37.3688889,-122.0352778
2788206,edirne,41.675745,26.558665
683466,sogamoso,5.714344,-72.933908
132712,mercedes,-33.674359,-65.461405
1545151,ueda,36.4,138.266667
2154567,bahawalnagar,29.998659,73.253604
2969477,sterling heights,42.5802778,-83.0302778
451393,danshui,22.798396,114.467158
2221941,pakpattan,30.341044,73.386642
623299,xichang,27.896422,102.263415
2465890,neftekamsk,56.091991,54.270319
1206979,klaten,-7.705833,110.606389
1320915,ramat gan,32.080556,34.814167
1286011,taman,-7.1785,112.8978
1335941,hathras,27.6,78.05
1262378,rangkasbitung,-6.3591,106.2494
2463398,murom,55.575,42.0426
1828144,pakokku,21.3333333,95.1
2173078,daska,32.324262,74.349741
3051071,angren,41.0166667,70.1436111
1326247,bettiah,26.8,84.5
1330310,cuddapah,14.466667,78.816667
358289,isiro,2.766667,27.616667
696109,sancti spiritus,21.9297222,-79.4425
2754964,surat thani,9.140109,99.333114
501559,jiangyou,31.766667,104.716667
1866529,colima,19.233333,-103.716667
2003402,lafia,8.483333,8.516667
3034275,alexandria,38.8047222,-77.0472222
1981856,amaigbo,5.789171,7.838294
491714,huaihua,27.549444,109.959167
1966392,xai-xai,-25.0519444,33.6441667
2594198,waw,7.7,28.0
2287574,walbrzych,50.771407,16.28432
2275128,plock,52.55,19.7
302953,jequie,-13.85,-40.083333
872185,leon,42.600031,-5.570316
2470824,norilsk,69.3535,88.2027
2252456,elblag,54.1522,19.408841
3136364,worcester,-33.64651,19.448523
2850630,yuanlin,23.9575,120.5733333
