,name,latitude,longitude
0,andorra,42.546245,1.601554
1,united arab emirates,23.424076,53.847818
2,afghanistan,33.93911,67.709953
3,antigua and barbuda,17.060816,-61.796428
4,anguilla,18.220554,-63.068615
5,albania,41.153332,20.168331
6,armenia,40.069099,45.038189
7,netherlands antilles,12.226079,-69.060087
8,angola,-11.202692,17.873887
9,antarctica,-75.250973,-0.071389
10,argentina,-38.416097,-63.616672
11,american samoa,-14.270972,-170.132217
12,austria,47.516231,14.550072
13,australia,-25.274398,133.775136
14,aruba,12.52111,-69.968338
15,azerbaijan,40.143105,47.576927
16,bosnia and herzegovina,43.915886,17.679076
17,barbados,13.193887,-59.543198
18,bangladesh,23.684994,90.356331
19,belgium,50.503887,4.469936
20,burkina faso,12.238333,-1.561593
21,bulgaria,42.733883,25.48583
22,bahrain,25.930414,50.637772
23,burundi,-3.373056,29.918886
24,benin,9.30769,2.315834
25,bermuda,32.321384,-64.75737
26,brunei,4.535277,114.727669
27,bolivia,-16.290154,-63.588653
28,brazil,-14.235004,-51.92528
29,bahamas,25.03428,-77.39628
30,bhutan,27.514162,90.433601
31,bouvet island,-54.423199,3.413194
32,botswana,-22.328474,24.684866
33,belarus,53.709807,27.953389
34,belize,17.189877,-88.49765
35,canada,56.130366,-106.346771
36,cocos [keeling] islands,-12.164165,96.870956
37,congo [drc],-4.038333,21.758664
38,central african republic,6.611111,20.939444
39,congo [republic],-0.228021,15.827659
40,switzerland,46.818188,8.227512
41,côte d'ivoire,7.539989,-5.54708
42,cook islands,-21.236736,-159.777671
43,chile,-35.675147,-71.542969
44,cameroon,7.369722,12.354722
45,china,35.86166,104.195397
46,colombia,4.570868,-74.297333
47,costa rica,9.748917,-83.753428
48,cuba,21.521757,-77.781167
49,cape verde,16.002082,-24.013197
50,christmas island,-10.447525,105.690449
51,cyprus,35.126413,33.429859
52,czech republic,49.817492,15.472962
53,germany,51.165691,10.451526
54,djibouti,11.825138,42.590275
55,denmark,56.26392,9.501785
56,dominica,15.414999,-61.370976
57,dominican republic,18.735693,-70.162651
58,algeria,28.033886,1.659626
59,ecuador,-1.831239,-78.183406
60,estonia,58.595272,25.013607
61,egypt,26.820553,30.802498
62,western sahara,24.215527,-12.885834
63,eritrea,15.179384,39.782334
64,spain,40.463667,-3.74922
65,ethiopia,9.145,40.489673
